,panhandle,selinda,khwai,maunachira,nqoga,thaoge,xudum,boro
2000-04-30 00:00:00,848.25,165.25,346.25,943.25,1075.0,148.25,1234.5,1313.5
2000-05-08 00:00:00,847.75,143.5,272.0,784.75,1041.25,113.25,1096.0,1209.75
2000-05-16 00:00:00,855.75,153.5,287.0,801.0,1051.5,121.5,1114.25,1187.0
2000-05-24 00:00:00,850.75,155.0,290.0,782.5,1049.25,122.0,1084.0,1183.0
2000-06-01 00:00:00,843.0,171.0,265.5,782.5,1076.5,128.5,1110.25,1179.0
2000-06-09 00:00:00,825.75,173.75,313.5,852.5,1081.75,140.25,1151.25,1211.5
2000-06-17 00:00:00,791.75,177.5,301.25,851.25,1072.0,147.75,1165.25,1200.75
2000-06-25 00:00:00,748.0,173.25,288.0,845.25,1071.5,166.0,1236.5,1242.5
2000-07-03 00:00:00,731.75,187.0,304.0,888.0,1069.5,168.25,1233.0,1275.0
2000-07-11 00:00:00,701.25,186.75,303.0,908.5,1065.75,164.5,1265.0,1325.25
2000-07-19 00:00:00,678.0,189.5,306.0,914.25,1067.5,162.75,1299.25,1355.25
2000-07-27 00:00:00,669.25,194.75,303.75,912.75,1073.25,167.75,1335.5,1374.0
2000-08-12 00:00:00,553.75,181.75,278.0,907.25,1042.75,152.75,1270.75,1354.5
2000-08-20 00:00:00,568.25,185.75,315.75,942.5,1052.0,152.5,1281.75,1385.5
2000-08-28 00:00:00,574.5,192.0,350.25,990.75,1068.25,163.25,1301.75,1438.25
2000-09-13 00:00:00,537.0,160.25,338.0,949.25,1036.75,148.25,1182.0,1370.0
2000-09-21 00:00:00,523.0,159.5,329.25,938.25,1028.0,144.0,1140.0,1357.25
2000-10-23 00:00:00,457.5,224.5,294.25,870.75,979.0,100.75,867.0,1084.5
2000-10-31 00:00:00,435.5,130.75,304.5,865.75,969.75,91.5,860.25,1055.5
2000-11-08 00:00:00,422.5,50.75,230.25,761.5,920.0,83.25,659.5,799.5
2001-04-07 00:00:00,899.25,91.5,401.75,843.5,1046.5,56.5,307.75,594.75
2001-04-15 00:00:00,908.5,110.25,359.5,796.5,1043.0,50.5,269.75,556.5
2001-04-23 00:00:00,914.25,147.75,279.25,696.0,1069.0,61.0,386.5,660.5
2001-05-01 00:00:00,919.0,163.25,253.75,720.75,1093.0,77.75,465.75,697.25
2001-05-09 00:00:00,930.75,200.0,248.75,774.25,1122.5,125.25,634.25,797.75
2001-05-17 00:00:00,931.75,204.25,214.75,743.0,1129.5,151.0,727.75,847.0
2001-05-25 00:00:00,919.25,225.0,175.25,739.75,1132.25,185.75,884.0,960.75
2001-06-02 00:00:00,916.25,240.5,187.75,789.0,1140.0,206.0,987.0,1048.25
2001-06-10 00:00:00,914.5,247.75,141.0,789.5,1147.75,187.5,1155.5,1136.0
2001-06-26 00:00:00,880.25,274.25,205.75,922.0,1151.75,255.75,1344.25,1381.75
2001-07-04 00:00:00,879.5,273.75,206.5,921.0,1152.0,254.25,1343.25,1381.0
2001-07-12 00:00:00,863.75,282.5,225.75,983.75,1146.0,272.25,1419.5,1467.75
2001-07-20 00:00:00,855.0,284.0,229.75,982.5,1139.0,271.75,1407.5,1473.75
2001-07-28 00:00:00,830.0,288.25,254.75,994.5,1135.25,273.0,1430.75,1517.5
2001-08-05 00:00:00,815.0,279.25,265.25,999.25,1126.5,266.25,1432.0,1528.25
2001-08-13 00:00:00,811.25,283.0,236.75,1022.5,1132.0,239.5,1517.75,1576.0
2001-12-19 00:00:00,696.25,224.25,547.75,1113.5,1144.25,146.25,909.0,1458.0
2001-12-27 00:00:00,708.25,220.0,521.0,1109.5,1131.5,150.0,899.5,1397.75
2002-01-01 00:00:00,691.5,220.5,403.25,1077.25,1127.0,208.75,843.25,1294.25
2002-02-18 00:00:00,786.0,86.5,317.5,911.25,918.0,117.75,424.0,914.25
2002-03-30 00:00:00,870.0,44.0,255.5,817.75,909.0,81.5,288.5,659.25
2002-04-07 00:00:00,882.75,58.25,239.75,781.5,1000.0,35.25,162.0,515.5
2002-04-15 00:00:00,891.25,76.25,221.0,754.75,1037.75,34.25,140.75,433.0
2002-04-23 00:00:00,894.0,81.5,197.0,723.75,1044.0,37.0,164.5,422.25
2002-05-01 00:00:00,894.75,102.0,171.0,683.25,1066.0,48.75,218.5,445.75
2002-05-09 00:00:00,898.25,120.25,167.0,689.5,1089.75,59.0,303.5,495.75
2002-05-17 00:00:00,894.75,141.0,142.5,698.5,1099.25,84.5,422.0,563.5
2002-05-25 00:00:00,891.25,152.5,141.25,706.25,1105.5,100.5,479.75,607.25
2002-06-02 00:00:00,891.75,171.0,122.75,707.5,1097.0,112.5,570.25,717.0
2002-06-10 00:00:00,879.25,177.0,123.75,703.0,1101.25,116.0,618.0,783.25
2002-06-18 00:00:00,867.25,188.5,152.0,740.0,1099.75,120.25,694.75,902.0
2002-06-26 00:00:00,861.75,194.5,172.0,797.5,1104.25,120.5,732.25,962.0
2002-07-04 00:00:00,845.5,192.25,211.75,841.5,1107.5,125.0,786.5,1027.0
2002-07-12 00:00:00,835.5,193.75,221.25,857.25,1112.75,128.25,839.75,1071.5
2002-07-20 00:00:00,821.0,195.5,209.75,859.25,1103.5,137.75,867.75,1101.75
2002-07-28 00:00:00,802.25,195.25,205.5,861.5,1101.25,137.75,882.25,1126.75
2002-08-05 00:00:00,784.25,197.0,207.0,877.75,1106.0,140.25,900.25,1148.25
2002-08-13 00:00:00,772.0,198.25,233.75,911.5,1108.75,145.5,930.0,1171.0
2002-08-21 00:00:00,750.25,192.0,233.0,917.0,1105.75,137.75,897.25,1166.75
2002-08-29 00:00:00,739.5,189.75,234.75,932.0,1107.0,135.25,879.25,1170.25
2002-09-06 00:00:00,710.75,180.25,230.75,924.25,1094.25,126.25,845.25,1145.0
2002-09-14 00:00:00,694.5,178.75,235.0,917.25,1088.0,125.0,830.25,1130.75
2002-09-30 00:00:00,668.5,161.0,247.25,909.0,1076.25,112.25,776.0,1111.25
2002-10-08 00:00:00,662.75,154.75,250.75,904.75,1066.75,108.25,746.75,1098.75
2002-10-16 00:00:00,646.5,271.75,239.25,869.5,1048.75,127.0,716.75,1078.0
2002-10-24 00:00:00,632.75,211.75,247.25,849.0,1043.25,97.5,654.0,1022.5
2002-11-01 00:00:00,604.5,151.5,233.5,832.5,1018.5,90.25,587.25,957.0
2003-02-18 00:00:00,863.75,98.5,251.5,891.75,955.0,68.75,235.75,497.0
2003-02-26 00:00:00,868.5,36.5,251.75,890.5,935.5,68.0,183.5,517.25
2003-03-06 00:00:00,865.0,28.25,247.25,871.25,933.5,53.75,167.25,510.0
2003-03-14 00:00:00,879.5,42.5,254.0,865.75,943.5,50.0,131.0,443.75
2003-03-22 00:00:00,885.75,47.25,257.0,861.0,956.5,47.75,121.25,411.0
2003-03-30 00:00:00,889.0,85.5,242.5,843.25,1042.0,40.0,151.25,381.25
2003-04-07 00:00:00,887.5,93.25,252.0,867.75,1073.5,39.25,169.5,428.75
2003-04-15 00:00:00,882.0,109.25,223.5,838.75,1081.25,44.25,223.25,419.5
2003-04-23 00:00:00,881.25,123.5,222.0,824.0,1085.5,52.25,306.0,492.5
2003-05-01 00:00:00,879.5,133.25,235.5,827.75,1093.25,62.0,406.25,477.25
2003-05-09 00:00:00,874.5,143.5,220.25,811.5,1097.5,66.25,492.75,533.0
2003-05-17 00:00:00,874.5,152.75,219.25,806.5,1103.75,69.25,547.25,578.25
2003-05-25 00:00:00,869.25,159.75,205.0,799.0,1098.5,72.25,587.0,612.5
2003-06-02 00:00:00,866.0,169.5,200.5,801.0,1103.5,79.5,643.0,682.0
2003-06-10 00:00:00,859.5,176.75,209.75,831.0,1111.75,81.75,685.5,721.0
2003-06-18 00:00:00,853.25,178.75,215.75,848.0,1118.5,82.25,731.25,759.75
2003-06-26 00:00:00,836.5,181.75,201.75,838.75,1112.0,81.75,771.25,785.0
2003-07-04 00:00:00,822.0,188.0,208.0,845.0,1109.25,84.25,813.0,821.75
2003-07-12 00:00:00,803.5,193.0,207.5,854.25,1111.25,87.5,852.75,851.75
2003-07-20 00:00:00,777.0,193.5,201.75,865.75,1111.75,86.0,863.25,875.5
2003-07-28 00:00:00,757.75,191.75,210.25,889.75,1110.0,87.5,890.0,907.25
2003-08-05 00:00:00,730.25,192.75,210.75,898.25,1102.75,85.0,890.75,915.25
2003-08-13 00:00:00,727.5,195.75,215.5,916.25,1106.0,85.0,913.0,936.5
2003-08-21 00:00:00,699.75,189.5,211.25,903.5,1094.5,80.5,892.0,928.5
2003-08-29 00:00:00,682.25,183.75,217.75,915.0,1089.0,78.0,886.25,928.75
2003-09-06 00:00:00,658.0,176.0,221.25,917.75,1085.0,75.5,846.25,915.75
2003-09-14 00:00:00,651.25,170.25,224.0,911.25,1072.25,75.25,827.5,904.5
2003-09-22 00:00:00,639.5,160.0,225.5,895.5,1059.0,68.75,780.0,875.25
2003-10-08 00:00:00,618.75,137.75,215.0,846.5,1030.0,49.0,699.5,801.25
2003-10-16 00:00:00,617.0,131.75,218.25,831.0,1029.0,49.5,661.75,799.25
2003-10-24 00:00:00,611.5,115.25,234.25,834.25,1022.25,44.0,695.5,774.5
2003-11-01 00:00:00,617.0,108.5,230.75,826.75,1003.0,41.5,574.5,740.5
2003-11-09 00:00:00,633.75,114.75,244.75,805.0,984.25,41.75,564.0,719.25
2004-02-26 00:00:00,950.5,230.25,301.5,822.25,1167.25,115.75,683.75,635.5
2004-03-05 00:00:00,952.25,236.5,321.5,840.25,1174.25,127.75,744.0,672.5
2004-04-06 00:00:00,939.25,322.75,394.0,1059.5,1191.5,246.25,1378.5,1295.0
2004-04-14 00:00:00,936.25,314.25,306.75,1025.25,1180.5,242.25,1375.25,1315.0
2004-04-22 00:00:00,939.0,315.0,304.5,1057.0,1183.25,251.5,1421.5,1368.0
2004-04-30 00:00:00,933.75,304.75,258.0,1041.5,1175.25,250.75,1417.25,1382.25
2004-05-08 00:00:00,939.75,319.75,289.75,1065.25,1182.75,271.0,1476.25,1441.25
2004-05-16 00:00:00,935.25,322.25,263.75,1054.25,1182.5,274.75,1484.5,1455.75
2004-05-24 00:00:00,928.0,329.25,264.75,1061.0,1182.0,288.75,1531.75,1490.0
